Fielder_Id,Dissmisals
88,107
20,89
46,88
110,85
21,77
17,63
53,62
183,60
62,57
8,55
57,55
208,48
221,48
187,47
26,46
96,45
35,44
71,43
42,42
320,41
185,40
147,38
31,37
351,34
27,33
41,32
50,31
85,31
67,30
9,29
61,28
32,28
303,28
81,27
64,26
97,26
87,25
79,24
133,24
154,24
216,23
2,22
29,22
163,21
308,21
56,21
114,21
40,21
4,21
94,20
237,19
171,19
89,19
19,19
305,18
36,18
135,18
232,18
11,18
374,17
1,17
6,17
186,17
10,17
100,17
255,17
109,17
354,17
23,17
350,17
136,17
194,17
306,16
162,16
188,16
33,16
299,16
73,16
197,16
15,15
209,15
236,15
214,15
378,15
121,15
254,15
192,15
201,15
104,14
47,14
14,14
310,14
400,14
83,14
52,14
191,14
48,13
357,13
132,13
131,13
364,13
18,13
277,13
112,13
54,13
38,13
80,12
190,12
211,12
382,12
84,12
178,12
280,12
345,11
276,11
339,11
63,11
309,11
125,11
169,10
151,10
39,10
24,10
329,9
166,9
158,9
175,9
322,9
258,9
140,9
383,9
69,9
377,9
124,9
362,9
284,8
244,8
207,8
106,8
116,8
355,8
393,8
126,8
334,8
398,8
22,8
360,7
407,7
371,7
228,7
66,7
177,7
176,7
199,7
139,7
260,7
235,7
396,7
239,7
229,7
359,6
157,6
138,6
74,6
210,6
340,6
86,6
44,6
119,6
372,6
262,6
458,6
267,6
223,6
101,6
102,6
395,5
68,5
401,5
394,5
391,5
55,5
224,5
238,5
30,5
153,5
315,5
363,5
367,5
353,5
25,5
7,5
248,5
91,5
90,5
82,5
346,5
347,4
342,4
325,4
253,4
356,4
316,4
429,4
421,4
259,4
311,4
379,4
263,4
369,4
408,4
270,4
293,4
289,4
286,4
250,4
203,4
120,4
230,4
28,4
95,4
59,4
212,4
152,4
127,4
12,4
70,4
111,4
43,4
182,4
115,4
179,4
92,4
161,4
386,3
301,3
387,3
385,3
156,3
380,3
392,3
77,3
314,3
78,3
93,3
58,3
366,3
205,3
155,3
261,3
128,3
122,3
246,3
241,3
446,3
256,3
134,3
436,3
434,3
358,3
425,3
222,3
218,3
420,3
278,3
336,3
160,3
103,2
118,2
107,2
65,2
75,2
49,2
45,2
37,2
411,2
413,2
419,2
422,2
5,2
433,2
435,2
439,2
455,2
3,2
460,2
123,2
247,2
200,2
234,2
287,2
204,2
275,2
184,2
300,2
181,2
274,2
273,2
266,2
167,2
233,2
327,2
226,2
252,2
243,2
245,2
149,2
202,2
403,1
462,1
523,1
405,1
468,1
283,1
410,1
281,1
217,1
465,1
461,1
231,1
451,1
240,1
453,1
269,1
456,1
426,1
428,1
264,1
257,1
352,1
402,1
373,1
349,1
137,1
141,1
344,1
113,1
148,1
108,1
365,1
333,1
105,1
368,1
332,1
370,1
99,1
164,1
399,1
375,1
168,1
170,1
172,1
381,1
76,1
173,1
174,1
297,1
296,1
60,1
295,1
195,1
129,1
524,1
